,bathrooms,bedrooms,borough,city,leaseLength,postal_code,rating,rent,rental_title,sqft,state,street_address,pet_cat,pet_dog,built_year,property_size,amenity_air conditioning,amenity_alcove,amenity_balcony,amenity_basketball,amenity_bike storage,amenity_business,amenity_cable,amenity_ceiling fans,amenity_charging station,amenity_clubhouse,amenity_concierge,amenity_controlled,amenity_courtyard,amenity_dishwasher,amenity_disposal,amenity_dry cleaning,amenity_elevator,amenity_fitness,amenity_furnished,amenity_game,amenity_gated,amenity_granite,amenity_grill,amenity_hardwood,amenity_heat/hot water included,amenity_heating,amenity_high ceilings,amenity_internet,amenity_laundary facilities,amenity_laundry service,amenity_library,amenity_lounge,amenity_maid,amenity_maintenance,amenity_manager,amenity_microwave,amenity_movie,amenity_online service,amenity_oven,amenity_package,amenity_parking available,amenity_parking garage,amenity_parking security,amenity_patio,amenity_pet care,amenity_pet play area,amenity_picnic,amenity_planned social activities,amenity_playground,amenity_pool,amenity_private outdoor space,amenity_recycling,amenity_refrigerator,amenity_renovated,amenity_retail,amenity_rooftop,amenity_smoke free,amenity_spa,amenity_stainless,amenity_storage space,amenity_stove,amenity_sundeck,amenity_terrace,amenity_tub,amenity_views,amenity_walk-in closets,amenity_washer/dryer,amenity_wheelchair,amenity_wifi,amenity_yoga studio,full_address,longitude,latitude
8570,1,1,Bronx,bronx,12,,4,2100.0,749 E 133rd St Unit 1B,1000.0,NY,749 E 133rd St Unit 1B,1,1,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"749 E 133rd St Unit 1B, bronx, NY",,
8571,1,1,Bronx,bronx,12,,4,2000.0,508 Kappock St Unit 6K,850.0,NY,508 Kappock St Unit 6K,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"508 Kappock St Unit 6K, bronx, NY",,
8572,1,3,Bronx,bronx,12,,4,1650.0,1845 Mohegan Ave Unit 14,900.0,NY,1845 Mohegan Ave Unit 14,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1845 Mohegan Ave Unit 14, bronx, NY",,
8573,1,1,Bronx,bronx,12,,4,1850.0,3582 Netherland Ave Unit 1R,800.0,NY,3582 Netherland Ave Unit 1R,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3582 Netherland Ave Unit 1R, bronx, NY",,
8574,1,2,Bronx,bronx,12,,4,2200.0,3056 Godwin Terrace Unit 8,800.0,NY,3056 Godwin Terrace Unit 8,1,1,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"3056 Godwin Terrace Unit 8, bronx, NY",,
8575,1,0,Bronx,bronx,12,,4,1550.0,392 E 153rd St Unit 2F,600.0,NY,392 E 153rd St Unit 2F,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"392 E 153rd St Unit 2F, bronx, NY",,
8576,1,2,Bronx,bronx,12,,4,2100.0,317 Alexander Ave Unit 4F,900.0,NY,317 Alexander Ave Unit 4F,1,1,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"317 Alexander Ave Unit 4F, bronx, NY",,
8577,2,3,Bronx,bronx,12,,4,4795.0,3624 Oxford Ave Unit 4B,1500.0,NY,3624 Oxford Ave Unit 4B,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3624 Oxford Ave Unit 4B, bronx, NY",,
8578,1,1,Bronx,bronx,12,,4,1595.0,1724 University Ave Unit 2H,700.0,NY,1724 University Ave Unit 2H,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1724 University Ave Unit 2H, bronx, NY",,
8579,1,4,Bronx,bronx,12,,4,2500.0,626 E 169th St Unit 4D,1500.0,NY,626 E 169th St Unit 4D,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"626 E 169th St Unit 4D, bronx, NY",,
8580,1,2,Bronx,bronx,12,,4,1595.0,1268 Sheridan Ave Unit 6H,850.0,NY,1268 Sheridan Ave Unit 6H,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1268 Sheridan Ave Unit 6H, bronx, NY",,
8581,1,2,Bronx,bronx,12,,4,2700.0,532 W 236th St Unit 5B,900.0,NY,532 W 236th St Unit 5B,1,1,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"532 W 236th St Unit 5B, bronx, NY",,
8582,1,2,Bronx,bronx,12,,4,2300.0,2468 Belmont Ave Unit 2,900.0,NY,2468 Belmont Ave Unit 2,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2468 Belmont Ave Unit 2, bronx, NY",,
8583,1,1,Bronx,bronx,12,,4,1650.0,952 Underhill Ave Unit 5D,700.0,NY,952 Underhill Ave Unit 5D,1,1,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"952 Underhill Ave Unit 5D, bronx, NY",,
8584,1,1,Bronx,bronx,12,,4,1595.0,1027 Walton Ave Unit 1C,750.0,NY,1027 Walton Ave Unit 1C,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1027 Walton Ave Unit 1C, bronx, NY",,
8585,1,0,Bronx,bronx,12,,4,1450.0,1248 Morrison Ave Unit 4A,600.0,NY,1248 Morrison Ave Unit 4A,1,1,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1248 Morrison Ave Unit 4A, bronx, NY",,
8586,1,0,Bronx,bronx,12,,4,1325.0,2965 Decatur Ave Unit 2G,400.0,NY,2965 Decatur Ave Unit 2G,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2965 Decatur Ave Unit 2G, bronx, NY",,
8587,1,2,Bronx,bronx,12,,4,1950.0,713 E 231st St Unit 3C,850.0,NY,713 E 231st St Unit 3C,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"713 E 231st St Unit 3C, bronx, NY",,
8588,1,2,Bronx,bronx,12,,4,2048.0,1133 Ogden Ave Unit 6Q,750.0,NY,1133 Ogden Ave Unit 6Q,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1133 Ogden Ave Unit 6Q, bronx, NY",,
8589,1,2,Bronx,bronx,12,,4,1895.0,2749 Sedgwick Ave Unit 5E,900.0,NY,2749 Sedgwick Ave Unit 5E,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2749 Sedgwick Ave Unit 5E, bronx, NY",,
8590,1,2,Bronx,bronx,12,,4,1695.0,3167 Steuben Ave Unit A4,850.0,NY,3167 Steuben Ave Unit A4,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3167 Steuben Ave Unit A4, bronx, NY",,
8591,3,4,Bronx,bronx,12,,4,4095.0,634 W 246th St Unit 624,1800.0,NY,634 W 246th St Unit 624,1,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"634 W 246th St Unit 624, bronx, NY",,
8592,1,1,Bronx,bronx,12,,4,1755.0,2767 Morris Ave Unit 405,750.0,NY,2767 Morris Ave Unit 405,1,1,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2767 Morris Ave Unit 405, bronx, NY",,
8593,1,2,Bronx,bronx,12,,4,1525.0,1568 Grand Concourse Unit B54,800.0,NY,1568 Grand Concourse Unit B54,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1568 Grand Concourse Unit B54, bronx, NY",,
8594,1,2,Bronx,bronx,12,,4,1525.0,70 W 238th St Unit F34,900.0,NY,70 W 238th St Unit F34,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70 W 238th St Unit F34, bronx, NY",,
8595,1,1,Bronx,bronx,12,,4,1900.0,146 Bruckner Blvd Unit 4C,850.0,NY,146 Bruckner Blvd Unit 4C,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"146 Bruckner Blvd Unit 4C, bronx, NY",,
8596,1,2,Bronx,bronx,12,,4,2250.0,938 Grand Concourse Unit 1C,850.0,NY,938 Grand Concourse Unit 1C,1,1,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"938 Grand Concourse Unit 1C, bronx, NY",,
8597,2,3,Bronx,bronx,12,,4,3984.0,2608 Netherland Ave Unit 1215,1550.0,NY,2608 Netherland Ave Unit 1215,1,1,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2608 Netherland Ave Unit 1215, bronx, NY",,
8598,1,2,Bronx,bronx,12,,4,2100.0,1517 Grand Concourse Unit 6C,800.0,NY,1517 Grand Concourse Unit 6C,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1517 Grand Concourse Unit 6C, bronx, NY",,
8599,1,1,Bronx,bronx,12,,4,2012.0,638 W 246th St Unit 316,800.0,NY,638 W 246th St Unit 316,1,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"638 W 246th St Unit 316, bronx, NY",,
8600,1,2,Bronx,bronx,12,,4,1795.0,98 E 208th St Unit 3C,800.0,NY,98 E 208th St Unit 3C,1,1,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"98 E 208th St Unit 3C, bronx, NY",,
8601,1,1,Bronx,bronx,12,,4,1800.0,938 Grand Concourse Unit 6C,800.0,NY,938 Grand Concourse Unit 6C,1,1,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"938 Grand Concourse Unit 6C, bronx, NY",,
8602,1,2,Bronx,bronx,12,,4,2075.0,4357 Vireo Ave Unit 5D,900.0,NY,4357 Vireo Ave Unit 5D,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4357 Vireo Ave Unit 5D, bronx, NY",,
8603,1,2,Bronx,bronx,12,,4,1700.0,2174 University Ave Unit 2P,900.0,NY,2174 University Ave Unit 2P,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2174 University Ave Unit 2P, bronx, NY",,
8604,1,2,Bronx,bronx,12,,4,2350.0,16 Patricia Ln Unit 208,1100.0,NY,16 Patricia Ln Unit 208,1,1,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16 Patricia Ln Unit 208, bronx, NY",,
8605,1,1,Bronx,bronx,12,,4,1350.0,2760 Holland Ave Unit 1E,850.0,NY,2760 Holland Ave Unit 1E,0,0,1991,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2760 Holland Ave Unit 1E, bronx, NY",,
